Series ID,Date Reported,State (US),Carrier Type,Model Type,Reasons behind Tire Wear,Type Of Tire Wear,Max Load,Inflation Pressure,Overall Diameter
1,03-02-2017,California,Passenger,X,overinflated tire,Center Wear,"2,271 lbs ",60 psi,25''
2,04-02-2017,California,Farm,X,overinflated tire,Center Wear,"2,271 lbs ",60 psi,35''
3,05-02-2017,California,Industrial,X,overinflated tire,Center Wear,"2,271 lbs ",60 psi,45''
4,06-02-2017,California,Light Truck,X,overinflated tire,Center Wear,"2,271 lbs ",60 psi,55''
5,07-02-2017,Texas,Light Truck,X,overinflated tire,Center Wear,"2,271 lbs ",60 psi,55''
6,08-02-2017,Texas,Light Truck,Y,overinflated tire,Center Wear,"2,271 lbs ",60 psi,55''
7,09-02-2017,Texas,Light Truck,Y,overinflated tire,Center Wear,"2,271 lbs ",60 psi,55''
8,10-02-2017,Texas,Light Truck,Y,overinflated tire,Center Wear,"2,271 lbs ",60 psi,55''
9,11-02-2017,Texas,Light Truck,Y,Aggressive acceleration,Center Wear,"2,271 lbs ",60 psi,55''
10,12-02-2017,New York,Light Truck,Y,Aggressive acceleration,Center Wear,"2,271 lbs ",43 psi,55''
11,13-02-2017,New York,Light Truck,Y,Aggressive acceleration,Center Wear,"2,271 lbs ",44 psi,55''
12,14-02-2017,New York,Light Truck,Y,Aggressive acceleration,Center Wear,"2,271 lbs ",45 psi,55''
13,25-04-2017,New York,Light Truck,Y,Aggressive acceleration,Center Wear,"2,271 lbs ",46 psi,55''
14,26-04-2017,New York,Light Truck,Y,Aggressive acceleration,Center Wear,"2,271 lbs ",47 psi,55''
15,27-04-2017,New York,Light Truck,Y,Aggressive acceleration,Center Wear,"2,271 lbs ",48 psi,55''
16,28-04-2017,New York,Light Truck,Y,Aggressive acceleration,Center Wear,"2,271 lbs ",50 psi,55''
17,29-04-2017,New York,Light Truck,Z,Aggressive acceleration,Center Wear,"2,271 lbs ",51 psi,55''
18,30-04-2017,Mississippi,Light Truck,Z,Aggressive acceleration,Center Wear,"2,271 lbs ",52 psi,55''
19,01-05-2017,Mississippi,Light Truck,Z,Aggressive acceleration,Center Wear,"2,271 lbs ",53 psi,55''
20,02-05-2017,Mississippi,Light Truck,Z,Aggressive acceleration,Center Wear,"2,271 lbs ",54 psi,55''
21,03-05-2017,Mississippi,Light Truck,Z,Aggressive acceleration,Center Wear,"2,271 lbs ",55 psi,55''
22,04-05-2017,Mississippi,Light Truck,Z,Aggressive acceleration,Center Wear,"2,271 lbs ",25 psi,55''
23,05-05-2017,Mississippi,Light Truck,Z,Aggressive acceleration,Center Wear,"2,271 lbs ",26 psi,55''
24,06-05-2017,Mississippi,Light Truck,X,Aggressive acceleration,Center Wear,"2,271 lbs ",27 psi,55''
25,07-05-2017,Mississippi,Light Truck,X,Aggressive acceleration,Center Wear,"2,271 lbs ",28 psi,55''
26,08-05-2017,Mississippi,Light Truck,X,Aggressive acceleration,Center Wear,"2,271 lbs ",29 psi,55''
27,09-05-2017,Mississippi,Light Truck,X,Aggressive acceleration,Center Wear,"2,271 lbs ",30 psi,55''
28,10-05-2017,Ohio,Light Truck,X,Under-inflated tires,Side Wear,"2,271 lbs ",31 psi,55''
29,11-05-2017,Ohio,Light Truck,X,Under-inflated tires,Side Wear,"2,271 lbs ",32 psi,55''
30,12-05-2017,Ohio,Light Truck,X,Under-inflated tires,Side Wear,"2,271 lbs ",33 psi,55''
31,13-05-2017,Ohio,Light Truck,X,Under-inflated tires,Side Wear,"2,271 lbs ",34 psi,55''
32,14-05-2017,Ohio,Light Truck,X,Under-inflated tires,Side Wear,"2,271 lbs ",35 psi,55''
33,15-05-2017,Ohio,Light Truck,X,Under-inflated tires,Side Wear,"2,271 lbs ",36 psi,55''
34,16-05-2017,Ohio,Light Truck,X,Under-inflated tires,Side Wear,"2,271 lbs ",37 psi,55''
35,17-05-2017,Ohio,Light Truck,Y,Under-inflated tires,Side Wear,"2,500 lbs ",38 psi,55''
36,18-05-2017,Ohio,Light Truck,Y,Under-inflated tires,Side Wear,"2,500 lbs ",39 psi,55''
37,19-05-2017,Ohio,Light Truck,Y,Under-inflated tires,Side Wear,"2,500 lbs ",40 psi,55''
38,20-05-2017,New Hamsphire,Passenger,Y,Under-inflated tires,Side Wear,"2,500 lbs ",41 psi,55''
39,21-05-2017,New Hamsphire,Passenger,Y,Under-inflated tires,Side Wear,"2,500 lbs ",42 psi,55''
40,22-05-2017,New Hamsphire,Passenger,Y,Under-inflated tires,Side Wear,"2,500 lbs ",43 psi,55''
41,23-05-2017,New Hamsphire,Passenger,Y,Under-inflated tires,Side Wear,"2,500 lbs ",44 psi,55''
